ID;Title;Work Item Type;Description;Acceptance Criteria;Tags;Story Points;Priority
30540;Software Design Document (SDD);Epic;Deze Epic bevat alle activiteiten die nodig zijn om het Software Design Document (SDD) te ontwikkelen. Het doel van dit document is om de technische specificaties en ontwerpbeslissingen van het project duidelijk te documenteren. Het omvat verschillende soorten diagrammen, zoals UML-diagrammen (Use Case, Sequence, Class, etc.), datamodellen en architectuurschema’s. Dit document zal dienen als een referentiepunt voor zowel het ontwikkelteam als de stakeholders.;;Documentatie;;1
31225;Rooster pagina Front-end;User Story;Als gebruiker van de Teamformer app wil ik een roosterpagina zien, zodat ik eenvoudig mijn persoonlijke rooster kan bekijken, inzien welke afspraken ik heb, en overzichtelijk kan zien op welke dagen en tijden deze plaatsvinden.;* De roosterpagina bevat een kalenderweergave (dag, week, of maand) met geplande afspraken. * Er moet een filteroptie zijn om de weergave te wijzigen (bijv. op dag, week of maand). * Elke afspraak in de kalender toont tijd, naam, en locatie bij hover of tap. * Er moet een legenda zichtbaar zijn om de verschillende typen afspraken/lessen te onderscheiden (bijv. kleurcodering voor vergaderingen, lessen, deadlines). * De pagina biedt een optie om snel te navigeren naar vorige en volgende weken. * De lay-out past zich aan verschillende schermformaten aan (responsive design). Functionele eisen * De roosterpagina toont een kalenderweergave met geplande afspraken. * De gebruiker kan de weergave filteren op dag, week of maand. * Afspraken tonen tijd, naam en locatie bij hover of tap. * Navigatie naar vorige en volgende weken is mogelijk. Niet-functionele eisen * De lay-out is responsive voor verschillende schermformaten. * De kalenderpagina laadt binnen 2 seconden bij een gemiddelde internetverbinding.;Front-end;13;2
31226;Rooster pagina Back-end;User Story;Als gebruiker van de Teamformer app wil ik dat de roostergegevens kunnen zien en filteren, zodat ik snel en betrouwbaar mijn persoonlijke rooster kan bekijken.;* De back-end moet API-endpoints aanbieden voor het ophalen van roostergegevens per dag, week, of maand. * De API moet ondersteuning bieden voor filtering op type afspraken * Er moet een authenticatiemechanisme zijn om alleen geautoriseerde gebruikers toegang te geven tot hun persoonlijke rooster. * De back-end moet in staat zijn om afspraken te filteren op basis van gebruikersrollen. * Foutafhandeling moet duidelijk worden aangeven. Functionele eisen * De back-end biedt API-endpoints aan voor het ophalen van roostergegevens per dag, week, of maand. * De API ondersteunt filtering op type afspraken. * Alleen geautoriseerde gebruikers kunnen hun persoonlijke rooster bekijken via een authenticatiemechanisme. * De back-end geeft duidelijke foutmeldingen bij fouten of mislukte verzoeken. Niet-functionele eisen * API-verzoeken moeten binnen 1 seconde worden verwerkt bij gemiddelde serverbelasting. * De API moet veilig zijn en voldoen aan beveiligingsnormen zoals HTTPS en token-gebaseerde authenticatie. * Foutmeldingen moeten consistent en gebruikersvriendelijk worden weergegeven.;Back-end;21;1
33736;Rooster ophalen van de gebruiker;User Story;Als gebruiker van de Teamformer app wil ik dat mijn persoonlijke rooster automatisch wordt opgehaald, zodat ik direct mijn afspraken en planning kan bekijken zonder handmatig gegevens in te voeren.;Acceptatiecriteria * Mijn persoonlijke rooster wordt automatisch geladen wanneer ik de roosterpagina open. * De gegevens worden opgehaald via een beveiligd API-endpoint. * Alleen mijn afspraken en evenementen worden weergegeven. * Bij een fout in het ophalen van de gegevens ontvang ik een duidelijke foutmelding. Functionele eisen * De back-end biedt een API-endpoint dat persoonlijke roostergegevens ophaalt op basis van de gebruiker. * Het ophalen van het rooster ondersteunt filtering op tijdsperiode (dag, week, maand). * De API retourneert alleen afspraken die relevant zijn voor de ingelogde gebruiker. Niet-functionele eisen * Het ophalen van het rooster mag niet langer dan 1 seconde duren. * De API moet voldoen aan beveiligingsnormen zoals HTTPS en token-gebaseerde authenticatie. * Het systeem moet schaalbaar zijn om meerdere gebruikers tegelijkertijd te ondersteunen zonder prestatieverlies.;Back-end;8;1
33735;Rooster Filteropties;User Story;Als gebruiker van de Teamformer app wil ik filteropties kunnen gebruiken op mijn rooster, zodat ik specifieke afspraken of categorieën eenvoudig kan vinden en mijn planning overzichtelijk kan houden.;Acceptatiecriteria * Ik kan filteren op tijdsperiode (dag, week, maand). * Ik kan filteren op type afspraken, zoals vergaderingen, evenementen of deadlines. * De filteropties zijn duidelijk zichtbaar en eenvoudig te gebruiken. * Na het toepassen van een filter wordt het rooster direct bijgewerkt. * Ik kan filters resetten om alle afspraken weer te geven. Functionele eisen * De app biedt een gebruiksvriendelijke interface om filters toe te passen op het rooster. * Filters worden direct toegepast zonder dat de pagina opnieuw geladen hoeft te worden. * Er is een optie om alle filters te resetten. Niet-functionele eisen * Het toepassen van filters mag niet langer dan 1 seconde duren. * De filterfunctionaliteit moet fouttolerant zijn en duidelijke foutmeldingen geven bij ongeldige invoer. * De layout en interactie met filters moeten responsief zijn en werken op verschillende apparaten.;Back-end;8;2
33734;Rooster;Epic;Als gebruiker van de Teamformer app wil ik mijn persoonlijke rooster kunnen bekijken, beheren en filteren, zodat ik altijd inzicht heb in mijn afspraken en planning. Features * Roosterpagina - Front-end: Gebruikers kunnen een overzicht van hun persoonlijke rooster zien in een kalenderweergave (dag, week, maand). * Roostergegevens ophalen: De back-end haalt efficiënt roostergegevens op en stelt deze beschikbaar voor de front-end. * Filteropties: Gebruikers kunnen afspraken filteren op type, datum of categorie. * Afspraken bekijken: Gebruikers kunnen details van afspraken inzien, zoals tijd, locatie en omschrijving. * Responsieve layout: De roosterpagina past zich aan verschillende schermformaten aan en biedt een consistente gebruikerservaring. * Notificaties voor afspraken: Gebruikers kunnen meldingen ontvangen over aankomende afspraken.;;;;2
31223;Registratie Pagina Front-end;User Story;Als gebruiker van de Teamformer app wil ik een registratiepagina zien, zodat ik een nieuw account kan aanmaken.;* De registratiepagina bevat invoervelden voor naam, e-mailadres, wachtwoord, en bevestiging van wachtwoord. * Er is een knop om de registratie te voltooien * Er is een melding zichtbaar indien een veld onjuist of niet volledig is ingevuld. * Er moet een visuele indicatie zijn als het ingevoerde wachtwoord niet voldoet aan de eisen (bijv. minimaal 8 tekens, gebruik van hoofdletters en cijfers). * Er is een link naar de inlogpagina voor gebruikers die al een account hebben. * De lay-out past zich aan verschillende schermformaten aan (responsive design). Functionele eisen * De registratiepagina moet invoervelden bevatten voor naam, wachtwoord. * Er moet een knop aanwezig zijn om het registratieproces te voltooien. * Er moet een visuele indicatie zijn als het ingevoerde wachtwoord niet voldoet aan de gestelde eisen (minimaal 8 tekens, gebruik van hoofdletters en cijfers). * Er moet een link aanwezig zijn naar de inlogpagina voor gebruikers die al een account hebben. Niet-functionele eisen * De registratiepagina moet responsive zijn en zich aanpassen aan verschillende schermformaten (desktop, tablet, mobiel). * De lay-out van de pagina moet gebruiksvriendelijk  zijn, met duidelijke labels bij de invoervelden. * Het systeem moet voldoen aan beveiligingsnormen, zoals encryptie van wachtwoorden tijdens verzending en opslag. * De pagina moet binnen 2 seconden laden bij een gemiddelde internetverbinding.;Front-end;21;2
33716;QR-code scannen - Front-end;User Story;Als gebruiker van de Teamformer app wil ik een QR-code kunnen scannen, zodat ik snel toegang krijg tot een specifiek evenement en kan deelnemen zonder handmatige invoer.;Acceptatiecriteria * Er is een knop of optie beschikbaar om de QR-scanner te openen vanuit de app. * De QR-scanner gebruikt de camera van mijn apparaat. * Na het scannen van een geldige QR-code word ik direct doorgestuurd naar de evenementpagina. * Als de QR-code ongeldig is, ontvang ik een foutmelding. Functionele eisen * De front-end biedt een QR-scanner die toegang heeft tot de apparaatcamera. * De scanner stuurt de gescande gegevens naar de back-end om te controleren op geldigheid. Niet-functionele eisen * De scanner moet binnen 1 seconde reageren op een geldige QR-code. * De foutmeldingen moeten duidelijk en gebruiksvriendelijk zijn. * De QR-scanner moet werken op verschillende schermformaten en besturingssystemen.;Front end;21;2
33729;QR-CODE;Epic;Beschrijving Als gebruiker van de Teamformer app wil ik QR-codes kunnen genereren, scannen en gebruiken om eenvoudig toegang te krijgen tot evenementen en anderen uit te nodigen, zodat interacties sneller en gebruiksvriendelijker worden. Features * Genereren van QR-codes: Gebruikers kunnen unieke QR-codes genereren voor evenementen. * QR-code scannen: Gebruikers kunnen QR-codes scannen om toegang te krijgen tot evenementen. * Beveiliging en geldigheid: QR-codes zijn beveiligd en slechts tijdelijk geldig. * Delen en opslaan: QR-codes kunnen worden gedownload of gedeeld via andere platforms. * Front-end layout: QR-codes worden duidelijk en gebruiksvriendelijk gepresenteerd met relevante evenementinformatie.;;;;2
33679;Ophalen van teams vanuit de API;User Story;Als gebruiker van de Teamformer app wil ik dat de teams en hun details efficiënt worden opgehaald vanuit de API, zodat ik snel een overzicht kan krijgen van all mijn teams.;Acceptatiecriteria * De API biedt een endpoint om teamgegevens op te halen. * Het endpoint retourneert teaminformatie, inclusief teamnaam, beschrijving, en leden. * Elk teamlid bevat naam, en rol binnen het team. * Het resultaat kan worden gefilterd op specifieke teams. * Alleen geautoriseerde gebruikers kunnen de API aanroepen. * De API retourneert foutmeldingen in een gestructureerd formaat bij mislukte verzoeken. Functionele eisen * De API biedt een endpoint aan voor het ophalen van teams en teamleden. * Het ophalen van gegevens ondersteunt filtering op basis van specifieke parameters, zoals teamnaam of afdeling. Niet-functionele eisen * Het API-endpoint moet een antwoord geven binnen 1 seconde bij gemiddelde belasting. * Het API-verzoek en -antwoord moeten voldoen aan beveiligingsnormen zoals HTTPS en token-gebaseerde authenticatie. * De API moet schaalbaar zijn en grote hoeveelheden gegevens efficiënt kunnen verwerken.;Back-end;13;1
33712;Notificatievoorkeuren instellen;User Story;Als gebruiker van de Teamformer app wil ik mijn notificatievoorkeuren kunnen aanpassen, zodat ik alleen meldingen ontvang die relevant zijn voor mij.;Acceptatiecriteria * Er is een API-endpoint beschikbaar om notificatievoorkeuren op te slaan of bij te werken. * De voorkeuren kunnen specifieke meldingen aan- of uitzetten (bijvoorbeeld e-mail, pushmeldingen). * De voorkeuren worden opgeslagen in de database en zijn direct toepasbaar. * Gebruikers ontvangen een bevestiging dat hun voorkeuren succesvol zijn bijgewerkt. Functionele eisen * De back-end biedt een API-endpoint voor het beheren van notificatievoorkeuren. * Notificatievoorkeuren worden opgeslagen per gebruiker. Niet-functionele eisen * Het opslaan van notificatievoorkeuren mag niet langer dan 1 seconde duren. * De API moet fouttolerant zijn en duidelijke foutmeldingen retourneren bij invaliditeit. * De opgeslagen gegevens moeten schaalbaar en veilig blijven.;Back-end;8;2
30539;Mockup voor de Uitnodige van gebruiker pagina;Task;Als ontwikkelaar wil ik een mockup voor de uitnodigingspagina, zodat de flow voor het uitnodigen van nieuwe gebruikers goed wordt weergegeven.;;;;2
30538;Mockup voor de Teams pagina;Task;Als ontwikkelaar wil ik een mockup voor de teams pagina, zodat de presentatie van teaminformatie consistent is met de huisstijl.;;;;2
30537;Mockup voor de Rooster pagina's;Task;Als ontwikkelaar wil ik mockups voor de roosterpagina's, zodat de planning- en roosterweergave visueel aantrekkelijk en functioneel is.;;;;2
30536;Mockup voor de Registratie Pagina;Task;Als ontwikkelaar wil ik een mockup voor de registratiepagina, zodat de visuele presentatie van het registratieproces helder is.;;;;2
30535;Mockup voor de Login Pagina;Task;Als ontwikkelaar wil ik een mockup voor de loginpagina, zodat de visuele elementen en gebruikersinteracties goed worden gepresenteerd.;;;;2
30534;Mockup voor de Homepagina;Task;Als ontwikkelaar wil ik een mockup voor de homepage, zodat de visuele stijl en lay-out duidelijk zijn op basis van de goedgekeurde wireframe.;;;;2
30547;Login Pagina - Front-end;User Story;Als gebruiker van de Teamformer app wil ik een inlogformulier zien, zodat ik mijn e-mailadres en wachtwoord kan invoeren om toegang te krijgen tot mijn account.;"Acceptatiecriteria: * Het inlogformulier bevat velden voor e-mailadres en wachtwoord. * Er is een knop om in te loggen. * Er is een link voor het resetten van het wachtwoord indien de gebruiker dit vergeten is. Functionele Acceptatiecriteria: * Het inlogformulier moet binnen 2 seconden laden, ongeacht het apparaat of de internetverbinding van de gebruiker. * De ""Wachtwoord vergeten?""-knop moet de gebruiker binnen 1 seconde doorverwijzen naar de pagina voor wachtwoordherstel. Niet-functionele Acceptatiecriteria: * Na een mislukte inlogpoging moet een foutmelding worden weergegeven die duidelijk en begrijpelijk is, zodat de gebruiker begrijpt wat er misging en welke stappen hij kan ondernemen om het probleem op te lossen.";Front-end;8;2
33717;Layout van de QR-code - Front-end;User Story;Als gebruiker van de Teamformer app wil ik een duidelijke en visueel aantrekkelijke QR-code kunnen genereren, zodat ik deze eenvoudig kan delen met anderen.;Acceptatiecriteria * De QR-code wordt weergegeven als een grote, duidelijke afbeelding op de pagina. * Onder de QR-code wordt een korte beschrijving getoond van het evenement (bijvoorbeeld naam, datum, tijd). * Er is een optie om de QR-code te downloaden of te delen via andere apps. Functionele eisen * De QR-code wordt gegenereerd en weergegeven op een aparte pagina of pop-up. * De QR-code wordt aangevuld met relevante evenementinformatie. * De gebruiker kan de QR-code opslaan of delen. Niet-functionele eisen * De QR-code moet binnen 1 seconde zichtbaar zijn na aanvraag. * De layout moet responsive zijn en goed werken op mobiele apparaten en desktops. * De QR-code moet duidelijk en goed scanbaar zijn, ongeacht schermgrootte.;Back-end;21;2
33708;Instellingenpagina - Front-end;User Story;Als gebruiker van de Teamformer app wil ik een instellingenpagina kunnen bekijken en gebruiken, zodat ik mijn persoonlijke gegevens, voorkeuren, en accountinstellingen eenvoudig kan beheren.;Acceptatiecriteria * De instellingenpagina bevat secties voor het beheren van persoonlijke gegevens (zoals naam, e-mailadres en profielfoto). * Er is een optie om het wachtwoord te wijzigen. * Gebruikers kunnen notificatievoorkeuren instellen (zoals e-mail of pushmeldingen). * Er is een knop om het account af te melden. * De lay-out past zich aan verschillende schermformaten aan (responsive design). Functionele eisen * De instellingenpagina biedt opties voor het wijzigen van persoonlijke gegevens, wachtwoord en notificatievoorkeuren. * Gebruikers kunnen zich via een duidelijke knop afmelden. Niet-functionele eisen * De instellingenpagina moet responsive zijn en goed werken op verschillende apparaten. * Wijzigingen aan gegevens moeten binnen 1 seconde worden verwerkt. * De interface moet intuïtief en overzichtelijk zijn.;Front end;21;1
33731;Instellingen;Epic;Beschrijving Als gebruiker van de Teamformer app wil ik mijn account- en notificatie-instellingen eenvoudig kunnen beheren, zodat ik controle heb over mijn persoonlijke gegevens, voorkeuren, en beveiliging. Features * Wachtwoord wijzigen: Gebruikers kunnen hun wachtwoord veilig wijzigen via een duidelijke interface. * Notificatievoorkeuren instellen: Gebruikers kunnen bepalen welke meldingen ze willen ontvangen, zoals e-mails of pushmeldingen. * Afmelden: Gebruikers kunnen eenvoudig hun sessie beëindigen en zich veilig afmelden. * Beheren van persoonlijke gegevens: Gebruikers kunnen hun naam, e-mailadres en profielfoto bijwerken. * Responsieve layout: De instellingenpagina past zich aan verschillende schermformaten aan en biedt een intuïtieve gebruikerservaring. * Beveiliging en validatie: Alle wijzigingen worden veilig verwerkt en alleen toegankelijk voor geautoriseerde gebruikers.;;;;2
31221;Homepagina - Front-end;User Story;Als gebruiker van de Teamformer app wil ik een homepagina zien, zodat ik een overzicht krijg van de beschikbare functionaliteiten en makkelijk toegang heb tot de belangrijkste onderdelen van de applicatie.;* De homepagina bevat een navigatiebalk * De homepagina bevat een overzichtelijke indeling met een introductie of welkomsttekst. * Er zijn secties voor eventuele recente updates, nieuws, of features. * De lay-out past zich aan verschillende schermformaten aan (responsive design). Functionele eisen * De homepagina moet een navigatiebalk bevatten die toegang biedt tot alle belangrijke onderdelen van de applicatie. * De indeling van de homepagina moet overzichtelijk zijn en een introductie- of welkomsttekst bevatten. Niet-functionele eisen * De lay-out van de homepagina moet responsive zijn en zich aanpassen aan verschillende schermformaten (desktop, tablet, mobiel). * De laadtijd van de homepagina mag niet langer zijn dan 2 seconden bij een gemiddelde internetverbinding.;Front-end;13;2
33714;Gebruikers uitnodigen voor een evenement via QR-code;User Story;Als gebruiker van de Teamformer app wil ik gebruikers kunnen uitnodigen voor een evenement via een QR-code, zodat ze eenvoudig en snel kunnen deelnemen door de code te scannen.;Acceptatiecriteria * Ik kan een unieke QR-code genereren voor een specifiek evenement. * De QR-code bevat een link waarmee de gebruiker direct naar het evenement kan gaan en kan deelnemen. * Gebruikers zonder een account worden doorgestuurd naar de registratiepagina voordat ze kunnen deelnemen. * De QR-code is beveiligd en alleen geldig voor het geselecteerde evenement. * Een melding wordt weergegeven zodra een gebruiker succesvol via de QR-code is toegevoegd. Functionele eisen * De back-end biedt een API-endpoint om een unieke QR-code te genereren voor een evenement. * De QR-code bevat een beveiligde, unieke link naar het evenement. * De link in de QR-code controleert of de gebruiker is ingelogd of geregistreerd voordat toegang wordt verleend. Niet-functionele eisen * De QR-code moet binnen 1 seconde worden gegenereerd. * De link in de QR-code moet beveiligd zijn en voldoen aan HTTPS-normen. * De gegenereerde QR-code blijft geldig tot de starttijd van het evenement of totdat deze handmatig wordt ingetrokken. * De code moet schaalbaar zijn en meerdere simultane scans ondersteunen zonder prestatiedaling.;Back-end;21;2
33693;Gebruikers toevoegen aan mijn team;User Story;Als gebruiker van de Teamformer app wil ik gebruikers kunnen toevoegen aan mijn team, zodat ik mijn team kan uitbreiden en samenwerking met nieuwe leden kan bevorderen.;Acceptatiecriteria * Ik kan via mijn teams pagina een optie selecteren om gebruikers toe te voegen aan mijn team. * Er wordt een lijst of zoekfunctie geboden om bestaande gebruikers binnen de app te vinden. * Alleen ik, als beheerder van het team, kan nieuwe leden toevoegen. * Ik ontvang een bevestiging zodra een gebruiker succesvol is toegevoegd aan mijn team. Functionele eisen * De app biedt een optie om gebruikers toe te voegen aan mijn team via een zoekfunctie of QR. * Alleen beheerders kunnen gebruikers toevoegen aan hun team. * Toegevoegde gebruikers ontvangen een melding of uitnodiging. Niet-functionele eisen * Het toevoegen van een gebruiker moet binnen 2 seconden worden verwerkt. * De zoekfunctie moet fouttolerant zijn en resultaten binnen 1 seconde tonen. * De uitnodigingen moeten veilig worden verstuurd en voldoen aan beveiligingsnormen zoals e-mailvalidatie.;Back-end;5;2
33701;Evenementenpagina - Front-end;User Story;Als gebruiker van de Teamformer app wil ik een evenementenpagina kunnen bekijken, zodat ik een overzicht heb van aankomende evenementen en eenvoudig kan deelnemen of meer details kan zien.;Acceptatiecriteria * De evenementenpagina toont een overzicht van aankomende evenementen in een lijst- of kaartweergave. * Elk evenement bevat details zoals naam, datum, tijd, locatie en beschrijving. * Evenementen kunnen worden gefilterd op categorie of datum. * De pagina biedt een optie om te navigeren naar vorige en toekomstige evenementen. Functionele eisen * De evenementenpagina toont een overzicht van alle aankomende evenementen met hun details. * Gebruikers kunnen evenementen filteren op categorie of datum. Niet-functionele eisen * De evenementenpagina moet responsive zijn en goed werken op verschillende schermformaten. * De pagina moet binnen 2 seconden laden bij een gemiddelde internetverbinding. * De gebruikersinterface moet intuïtief en eenvoudig te navigeren zijn.;Front end;21;1
33705;Evenementen verwijderen als team eigenaar;User Story;Als eigenaar van een team wil ik een door mij aangemaakt evenement kunnen verwijderen, zodat ik niet langer relevante of foutieve evenementen kan opruimen.;Acceptatiecriteria * Ik kan een door mij aangemaakt evenement verwijderen via een duidelijke optie. * Er wordt een bevestigingsscherm getoond voordat het evenement definitief wordt verwijderd. * Alleen ik, als eigenaar van het team, kan evenementen verwijderen. * Na het verwijderen wordt het evenement direct uit het overzicht verwijderd. * Deelnemers ontvangen een melding dat het evenement is geannuleerd. Functionele eisen * De app biedt een functie om door mij aangemaakte evenementen te verwijderen. * Alleen team eigenaren kunnen evenementen verwijderen. Niet-functionele eisen * Het verwijderen van een evenement moet binnen 2 seconden worden verwerkt. * Het bevestigingsscherm en de meldingen moeten gebruiksvriendelijk zijn.;Back-end;5;2
33706;Evenementen verlaten als gebruiker;User Story;Als gebruiker van de Teamformer app wil ik een evenement waar ik aan deelneem kunnen verlaten, zodat ik mijn betrokkenheid bij dat evenement kan annuleren.;Acceptatiecriteria * Ik kan via de detailpagina van een evenement een optie selecteren om het evenement te verlaten. * Er wordt een bevestigingsscherm getoond voordat ik mijn deelname annuleer. * Na het verlaten wordt mijn status aangepast en het evenement uit mijn persoonlijke lijst verwijderd. * Ik ontvang een melding dat mijn deelname succesvol is geannuleerd. Functionele eisen * De app biedt een functie om mijn deelname aan een evenement te annuleren. * De deelname wordt direct geüpdatet in de app en uit mijn persoonlijke lijst verwijderd. Niet-functionele eisen * Het verlaten van een evenement moet binnen 1 seconde worden verwerkt. * De bevestigingsmelding moet helder en gebruiksvriendelijk zijn.;Back-end;5;2
